PlanIndex,RunID,PointName,Split,LogKP,LogKI,ScenarioID,Vin_RMS,Pload_Pre_W,Pload_High_W,BoostInductance_uH,DCBusCapacitance_uF,LineFrequency_Hz,KP,KI,IAMP_MAX_A,SimulationSucceeded,SafetyPassed,Objective,PerformanceObjective,PreLoadMean_V,HighLoadMean_V,PostLoadMean_V,SteadyStateError_V,LoadOnUndershoot_V,LoadOffOvershoot_V,LoadOnSettling_s,LoadOffSettling_s,HighLoadRipple_Vpp,GlobalVoutMinimum_V,GlobalVoutMaximum_V,ILPeak_A,PowerFactor,THD_Percent,InputPower_W,DutyMinimum,DutyMaximum,DutyMeanHigh,DutySaturationFraction,DutyStepRMS,IrefPeak_A,IrefMeanAbsHigh_A,IrefSaturationFraction,IrefStepRMS_A,ElapsedTime_s,BaselineFileUnchanged,ErrorIdentifier,ErrorMessage,HardSafetyPassed,RegulationPassed,PowerQualityPassed,Feasible
1,S9_01_01,SAFE_BASELINE,train,-4.60517018598809,-0.22314355131421,STAGE9_01,180,300,1400,248.8,952,47,0.01,0.8,16,1,0,1000000,1.60762618929772,403.712596731546,384.508988439212,369.55477291995,19.8382346797236,92.1906225626637,23.0760823455786,0.38936170212766,0.38,37.8427911903681,302.262242446579,430.064345922026,13.8759418816409,0.972445885830857,9.92558644601301,1346.31156325851,0,0.85,0.74386316065463,0.405926485183787,0.00837801447007993,12.4771667122472,6.54908417474879,0,0.00913591270369316,32.7351289,1,,,1,0,1,0
2,S9_01_02,PREVIOUS_BENCHMARK,train,-2.81378324280591,1.60684713308168,STAGE9_01,180,300,1400,248.8,952,47,0.0599776526,4.9870628691,16,1,0,1000000,0.443147560871171,399.734311876916,390.822637976806,396.416534981618,5.69021925240985,45.2298108435498,23.0280671691462,0.38936170212766,0.14096,14.609663830884,348.173546498441,430.030794134043,13.8753404751244,0.971222468741369,10.081354773099,1344.52957478965,0,0.85,0.768643993954116,0.499888750278124,0.00926042157209908,12.4772634549496,7.54836279201745,0,0.0103554269108399,26.0778567,1,,,1,0,1,0
3,S9_01_03,TARGETED_MID,train,-2.30258509299405,2.19722457733622,STAGE9_01,180,300,1400,248.8,952,47,0.1,9,16,1,0,1000000,0.384210977146917,400.104560362846,390.985732646927,397.918477662709,5.34168150875133,33.5020395459954,23.2310075217374,0.38936170212766,0.11522,14.1222020278526,358.716217175705,430.015090548642,13.8753490306974,0.97126862791931,10.0303326915139,1344.60345028205,0,0.85,0.770692935578565,0.50884372789068,0.00941279068993976,12.4774093435184,7.66069279290325,0,0.0104856473726591,26.5114417,1,,,1,0,1,0
4,S9_01_04,STRONG_FIXED,train,-1.89711998488588,2.484906649788,STAGE9_01,180,300,1400,248.8,952,47,0.15,12,16,1,0,1000000,0.37788219222532,400.022037039462,391.081218553381,398.890445940409,5.18897094277273,27.8195897304261,26.897681422535,0.38936170212766,0.11362,14.0750319300452,364.929855648367,430.001201102353,13.8751841305159,0.971403463064705,9.99529032449539,1345.19577876052,0,0.85,0.771406031175594,0.511343721640696,0.00943626976348159,12.4772501280211,7.7017022309178,0,0.0105239834876104,27.6640004,1,,,1,0,1,0
5,S9_02_01,SAFE_BASELINE,train,-4.60517018598809,-0.22314355131421,STAGE9_02,185,300,1400,248.8,1100,50,0.01,0.8,16,1,0,1000000,1.4401707179098,406.181016979757,388.221846619488,371.206571157666,18.3120307672075,89.416330135574,24.9962952057128,0.296,0.38,43.6240291402042,305.895322220525,430.056378492937,14.189018935644,0.971746992614978,10.1587233926848,1399.8365950588,0,0.85,0.736974144715368,0.378884052789868,0.00853141878369925,12.7916954140146,6.5035053806504,0,0.00961649919336287,26.3558952,1,,,1,0,1,0
6,S9_02_02,PREVIOUS_BENCHMARK,train,-2.81378324280591,1.60684713308168,STAGE9_02,185,300,1400,248.8,1100,50,0.0599776526,4.9870628691,16,1,1,0.203272718860224,0.203272718860224,399.57724751275,398.387928420393,396.926428651274,2.01860804177517,42.5351791086566,24.3427355942011,0.12436,0.14882,11.697685348984,352.142369506962,430.033782613717,14.2196977262503,0.96992176921261,10.5582147572992,1390.82378510219,0,0.85,0.766756426053827,0.487371281571796,0.00954794879701138,12.8231617107947,7.6271602629283,0,0.0110516718070336,30.4142555,1,,,1,1,1,1
7,S9_02_03,TARGETED_MID,train,-2.30258509299405,2.19722457733622,STAGE9_02,185,300,1400,248.8,1100,50,0.1,9,16,1,1,0.155947110583827,0.155947110583827,400.141904753093,397.598952294462,398.132683490736,1.75803280107696,31.4286355818284,24.4842112654904,0.10024,0.12192,11.3904898528348,362.524267273116,430.005654238669,14.2228642956844,0.969595241636752,10.8166014156886,1384.23961815996,0,0.85,0.768760312256704,0.495051262371844,0.00966449452391063,12.8232085392053,7.72004339762201,0,0.0111623046093381,30.3935955,1,,,1,1,1,1
8,S9_02_04,STRONG_FIXED,train,-1.89711998488588,2.484906649788,STAGE9_02,185,300,1400,248.8,1100,50,0.15,12,16,1,1,0.150981820504914,0.150981820504914,400.044162563643,397.054044569693,399.734400044164,1.7079370661632,25.8781284873375,27.5604289628113,0.0907399999999999,0.11996,11.4326604188774,367.813688239841,429.730768226565,14.2206399038762,0.969446500771973,11.0385739508456,1379.85901055751,0,0.85,0.769418332202504,0.498071254821863,0.00964864314448508,12.822979196974,7.741191418791,0,0.0111733395891201,30.3975452,1,,,1,1,1,1
9,S9_03_01,SAFE_BASELINE,train,-4.60517018598809,-0.22314355131421,STAGE9_03,190,350,1400,280,952,49,0.01,0.8,16,1,1,1.22330996837341,1.22330996837341,401.634984007525,392.010735208229,372.022816006567,16.8248263866259,82.9407638410044,24.8582162625251,0.27308,0.38,35.9704766183206,311.47476357658,430.034580538195,13.448802931055,0.978738809210677,9.00670972904977,1415.10053682622,0,0.85,0.731945374372451,0.359384101539746,0.00798317006346679,12.0569570253122,6.30288716074109,0,0.00895934203767803,32.6156579,1,,,1,1,1,1
10,S9_03_02,PREVIOUS_BENCHMARK,train,-2.81378324280591,1.60684713308168,STAGE9_03,190,350,1400,280,952,49,0.0599776526,4.9870628691,16,1,1,0.159420047096307,0.159420047096307,399.958844391705,399.977744699212,396.385343208958,2.08709788937775,40.1100427155428,24.3141312136125,0.08602,0.12604,13.6955353043032,352.606799943485,430.04141989921,14.3429981636247,0.977588658025456,9.34764186326152,1417.46858820191,0,0.85,0.760837529603064,0.447698880752798,0.00876146912979325,12.9549705008712,7.35019582315804,0,0.0102764121452053,31.2156276,1,,,1,1,1,1
